entry_uid,current_group,predicted_group,prob,margin,second_group,second_prob,label_en,file,path,reasons,Mismatch,prob_num,margin_num,auto_fix
fma50369__FJ1660.glb,brain,arteries,13.0,2.4,brain,10.7,Insular part of right middle cerebral artery,FJ1660.glb,brain,+phrase(cerebral artery);+kw(artery),True,13.0,2.4,True
fma50370__FJ1660M.glb,brain,arteries,13.0,2.4,brain,10.7,Insular part of left middle cerebral artery,FJ1660M.glb,brain,+phrase(cerebral artery);+kw(artery),True,13.0,2.4,True
fma50369__FJ1694.glb,brain,arteries,13.0,2.4,brain,10.7,Insular part of right middle cerebral artery,FJ1694.glb,brain,+phrase(cerebral artery);+kw(artery),True,13.0,2.4,True
fma50370__FJ1694M.glb,brain,arteries,13.0,2.4,brain,10.7,Insular part of left middle cerebral artery,FJ1694M.glb,brain,+phrase(cerebral artery);+kw(artery),True,13.0,2.4,True
fma50476__FJ1673.glb,brain,arteries,12.9,2.3,brain,10.5,Branch of right middle cerebral artery to right angular gyrus,FJ1673.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50477__FJ1673M.glb,brain,arteries,12.9,2.3,brain,10.5,Branch of left middle cerebral artery to left angular gyrus,FJ1673M.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50467__FJ1693.glb,brain,arteries,12.9,2.3,brain,10.5,Middle temporal branch of right middle cerebral artery,FJ1693.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50468__FJ1693M.glb,brain,arteries,12.9,2.3,brain,10.5,Middle temporal branch of left middle cerebral artery,FJ1693M.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50470__FJ1717.glb,brain,arteries,12.9,2.3,brain,10.5,Posterior temporal branch of right middle cerebral artery,FJ1717.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50471__FJ1717M.glb,brain,arteries,12.9,2.3,brain,10.5,Posterior temporal branch of left middle cerebral artery,FJ1717M.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50473__FJ1729.glb,brain,arteries,12.9,2.3,brain,10.5,Temporo-occipital branch of right middle cerebral artery,FJ1729.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma50474__FJ1729M.glb,brain,arteries,12.9,2.3,brain,10.5,Temporo-occipital branch of left middle cerebral artery,FJ1729M.glb,brain,+phrase(cerebral artery);+kw(artery),True,12.9,2.3,True
fma59103__FJ1299.glb,eyes,glands,12.3,2.2,eyes,10.1,Left lacrimal gland,FJ1299.glb,eyes,+phrase(lacrimal gland);+kw(gland),True,12.3,2.2,True
fma59102__FJ1350.glb,eyes,glands,12.3,2.2,eyes,10.1,Right lacrimal gland,FJ1350.glb,eyes,+phrase(lacrimal gland);+kw(gland),True,12.3,2.2,True
fma52577__FJ1293.glb,arteries,nerves,11.1,3.7,arteries,7.5,Inferior branch of left oculomotor nerve,FJ1293.glb,arteries,+kw(branch);+kw(nerve),True,11.1,3.7,True
fma52674__FJ1311.glb,arteries,nerves,11.1,3.7,arteries,7.5,Communicating branch of left nasociliary nerve with left ciliary ganglion,FJ1311.glb,arteries,+kw(branch);+kw(nerve),True,11.1,3.7,True
fma52575__FJ1321.glb,arteries,nerves,11.1,3.7,arteries,7.5,Superior branch of left oculomotor nerve,FJ1321.glb,arteries,+kw(branch);+kw(nerve),True,11.1,3.7,True
fma52576__FJ1344.glb,arteries,nerves,11.1,3.7,arteries,7.5,Inferior branch of right oculomotor nerve,FJ1344.glb,arteries,+kw(branch);+kw(nerve),True,11.1,3.7,True
fma52673__FJ1362.glb,arteries,nerves,11.1,3.7,arteries,7.5,Communicating branch of right nasociliary nerve with right ciliary ganglion,FJ1362.glb,arteries,+kw(branch);+kw(nerve),True,11.1,3.7,True
fma52574__FJ1372.glb,arteries,nerves,11.1,3.7,arteries,7.5,Superior branch of right oculomotor nerve,FJ1372.glb,arteries,+kw(branch);+kw(nerve),True,11.1,3.7,True
fma9756__FJ1451.glb,arteries,muscles,8.5,0.8,arteries,7.7,External intercostal muscle,FJ1451.glb,arteries,+kw(muscle),True,8.5,0.8,True
fma9756__FJ1451M.glb,arteries,muscles,8.5,0.8,arteries,7.7,External intercostal muscle,FJ1451M.glb,arteries,+kw(muscle),True,8.5,0.8,True
fma9758__FJ1454.glb,arteries,muscles,8.5,0.8,arteries,7.7,Innermost intercostal muscle,FJ1454.glb,arteries,+kw(muscle),True,8.5,0.8,True
fma9758__FJ1454M.glb,arteries,muscles,8.5,0.8,arteries,7.7,Innermost intercostal muscle,FJ1454M.glb,arteries,+kw(muscle),True,8.5,0.8,True
fma9757__FJ1455.glb,arteries,muscles,8.5,0.8,arteries,7.7,Internal intercostal muscle,FJ1455.glb,arteries,+kw(muscle),True,8.5,0.8,True
fma9757__FJ1455M.glb,arteries,muscles,8.5,0.8,arteries,7.7,Internal intercostal muscle,FJ1455M.glb,arteries,+kw(muscle),True,8.5,0.8,True
