label_en,corrected_group
Left anterior cusp of pulmonary valve,heart
Posterior cusp of pulmonary valve,heart
Right anterior cusp of pulmonary valve,heart
Pulmonary trunk,heart
Frontal bone,bones
Left first metatarsal bone,bones
Left second metatarsal bone,bones
Left third metatarsal bone,bones
Left fourth metatarsal bone,bones
Left fifth metatarsal bone,bones
Left lacrimal bone,bones
Left parietal bone,bones
Left temporal bone,bones
Occipital bone,bones
Right first metatarsal bone,bones
Right second metatarsal bone,bones
Right third metatarsal bone,bones
Right fourth metatarsal bone,bones
Right fifth metatarsal bone,bones
Right lacrimal bone,bones
Right parietal bone,bones
Right temporal bone,bones
Intervertebral disk of fourth thoracic vertebra,cartilage
Intervertebral disk of fifth thoracic vertebra,cartilage
Intervertebral disk of sixth thoracic vertebra,cartilage
Intervertebral disk of seventh thoracic vertebra,cartilage
Intervertebral disk of eighth thoracic vertebra,cartilage
Intervertebral disk of ninth thoracic vertebra,cartilage
Intervertebral disk of tenth thoracic vertebra,cartilage
Intervertebral disk of eleventh thoracic vertebra,cartilage
Intervertebral disk of first lumbar vertebra,cartilage
Intervertebral disk of third cervical vertebra,cartilage
Intervertebral disk of second lumbar vertebra,cartilage
Intervertebral disk of third lumbar vertebra,cartilage
Intervertebral disk of fourth lumbar vertebra,cartilage
Intervertebral disk of fifth lumbar vertebra,cartilage
Intervertebral disk of fourth cervical vertebra,cartilage
Intervertebral disk of fifth cervical vertebra,cartilage
Intervertebral disk of sixth cervical vertebra,cartilage
Intervertebral disk of seventh cervical vertebra,cartilage
Intervertebral disk of first thoracic vertebra,cartilage
Intervertebral disk of second thoracic vertebra,cartilage
Intervertebral disk of third thoracic vertebra,cartilage
