file_name,corrected_group,label_en
fma50369__FJ1660.glb,arteries,Insular part of right middle cerebral artery
fma50370__FJ1660M.glb,arteries,Insular part of left middle cerebral artery
fma50369__FJ1694.glb,arteries,Insular part of right middle cerebral artery
fma50370__FJ1694M.glb,arteries,Insular part of left middle cerebral artery
fma50476__FJ1673.glb,arteries,Branch of right middle cerebral artery to right angular gyrus
fma50477__FJ1673M.glb,arteries,Branch of left middle cerebral artery to left angular gyrus
fma50467__FJ1693.glb,arteries,Middle temporal branch of right middle cerebral artery
fma50468__FJ1693M.glb,arteries,Middle temporal branch of left middle cerebral artery
fma50470__FJ1717.glb,arteries,Posterior temporal branch of right middle cerebral artery
fma50471__FJ1717M.glb,arteries,Posterior temporal branch of left middle cerebral artery
fma50473__FJ1729.glb,arteries,Temporo-occipital branch of right middle cerebral artery
fma50474__FJ1729M.glb,arteries,Temporo-occipital branch of left middle cerebral artery
fma59103__FJ1299.glb,glands,Left lacrimal gland
fma59102__FJ1350.glb,glands,Right lacrimal gland
fma52577__FJ1293.glb,nerves,Inferior branch of left oculomotor nerve
fma52674__FJ1311.glb,nerves,Communicating branch of left nasociliary nerve with left ciliary ganglion
fma52575__FJ1321.glb,nerves,Superior branch of left oculomotor nerve
fma52576__FJ1344.glb,nerves,Inferior branch of right oculomotor nerve
fma52673__FJ1362.glb,nerves,Communicating branch of right nasociliary nerve with right ciliary ganglion
fma52574__FJ1372.glb,nerves,Superior branch of right oculomotor nerve
fma9756__FJ1451.glb,muscles,External intercostal muscle
fma9756__FJ1451M.glb,muscles,External intercostal muscle
fma9758__FJ1454.glb,muscles,Innermost intercostal muscle
fma9758__FJ1454M.glb,muscles,Innermost intercostal muscle
fma9757__FJ1455.glb,muscles,Internal intercostal muscle
fma9757__FJ1455M.glb,muscles,Internal intercostal muscle
